电影名,国家,导演及主演,年份,评分,引言,链接,类型
哈利·波特与死亡圣器(上),英国 美国,导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...,                            2010,8.5,最忠于原著的一部。,https://movie.douban.com/subject/2051007/,奇幻冒险
千年女优,日本,导演:今敏SatoshiKon   主演:庄司美代子MiyokoShôji/小山茉美Mam...,                            2001,8.8,爱情是一场没有尽头的虚幻追逐。,https://movie.douban.com/subject/1307394/,动画剧情爱情
谍影重重2,美国 德国,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...,                            2004,8.7,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/,动作悬疑惊悚
阿飞正传,中国,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...,                            1990,8.5,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/,犯罪剧情爱情
弱点,美国,导演:约翰·李·汉考克JohnLeeHancock   主演:桑德拉·布洛克SandraBu...,                            2009,8.7,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,https://movie.douban.com/subject/3552028/,剧情家庭传记运动
燃情岁月,美国,导演:爱德华·兹威克EdwardZwick   主演:布拉德·皮特BradPitt/安东...,                            1994,8.8,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/,剧情爱情战争西部
谍影重重,美国 德国 捷克,导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦...,                            2002,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/,动作悬疑惊悚
朗读者,美国 德国,导演:史蒂芬·戴德利StephenDaldry   主演:凯特·温丝莱特KateWinslet...,                            2008,8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/,剧情爱情
再次出发之纽约遇见你,美国,导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克...,                            2013,8.6,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/,喜剧爱情音乐
白日梦想家,美国 英国,导演:本·斯蒂勒BenStiller   主演:本·斯蒂勒BenStiller/克里斯汀·...,                            2013,8.6,,https://movie.douban.com/subject/2133323/,剧情喜剧冒险
哈利·波特与凤凰社,英国 美国,导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...,                            2007,8.5,,https://movie.douban.com/subject/1457217/,奇幻冒险
香水,德国 法国 西班牙 美国 比利时,导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克...,                            2006,8.5,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/,剧情犯罪奇幻
穿越时空的少女,日本,导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya...,                            2006,8.6,爱上未来的你。 ,https://movie.douban.com/subject/1937946/,剧情爱情科幻动画
海洋,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...,                            2009,9.1,大海啊，不全是水。,https://movie.douban.com/subject/3443389/,纪录片
